"RACE_COMB","COUNT","COUNT_se","county"
"AAPI",33332,1049.18539543404,"Los Angeles"
"AIAN",429,146.659162994867,"Los Angeles"
"Black",22794,938.414121893157,"Los Angeles"
"Latino",245409,2762.98544554159,"Los Angeles"
"Other",1132,219.1011585481,"Los Angeles"
"Two or More",2694,285.769190569,"Los Angeles"
"White",22770,877.981553516582,"Los Angeles"
"AAPI",29,29.0000000005474,"Madera"
"AIAN",28,8.36657666010477,"Madera"
"Latino",2388,337.681667326155,"Madera"
"Two or More",120,82.3164368876413,"Madera"
"White",602,145.622152343017,"Madera"
"AAPI",178,69.5412478146903,"Marin"
"AIAN",18,17.9999999990908,"Marin"
"Black",145,72.256427105499,"Marin"
"Latino",1830,292.674212721518,"Marin"
"Two or More",60,38.2883640201578,"Marin"
"White",501,137.494987556362,"Marin"
"AAPI",398,143.289649764163,"Merced"
"Black",70,27.2763212493201,"Merced"
"Latino",3691,376.174881912044,"Merced"
"Two or More",212,92.6281808208189,"Merced"
"White",359,121.395785988275,"Merced"
"AAPI",82,35.7770455514525,"Napa"
"Black",18,17.9999999990908,"Napa"
"Latino",1271,227.04214336136,"Napa"
"Other",22,15.6204951013358,"Napa"
"White",217,67.8157540349813,"Napa"
"AAPI",13447,637.488191733464,"Orange"
"AIAN",156,68.8330528094771,"Orange"
"Black",1547,290.464666949051,"Orange"
"Latino",54778,1552.74640313975,"Orange"
"Other",120,53.8515890063008,"Orange"
"Two or More",693,130.425241957578,"Orange"
"White",7909,512.037636587598,"Orange"
"AAPI",68,38.8586962921266,"Placer"
"Latino",917,246.861435901606,"Placer"
"Two or More",131,50.308964479039,"Placer"
"White",1053,193.262534589208,"Placer"
"AAPI",2582,310.416438508875,"Riverside"
"AIAN",799,177.134593437731,"Riverside"
"Black",3549,386.191810831449,"Riverside"
"Latino",38670,1298.25255553515,"Riverside"
"Other",116,71.6798116557717,"Riverside"
"Two or More",1008,227.735518988696,"Riverside"
"White",8340,548.596106898514,"Riverside"
"AAPI",5895,453.920576509164,"Sacramento"
"AIAN",174,52.2109639799503,"Sacramento"
"Black",3125,409.660457600936,"Sacramento"
"Latino",9683,614.240458353807,"Sacramento"
"Other",655,195.680310324325,"Sacramento"
"Two or More",1954,285.453906781352,"Sacramento"
"White",6018,430.725049009131,"Sacramento"
"AAPI",2730,306.783195655066,"San Bernardino"
"AIAN",179,66.3549900941463,"San Bernardino"
"Black",3434,405.380768415615,"San Bernardino"
"Latino",41045,1317.96433683511,"San Bernardino"
"Two or More",942,170.890389622862,"San Bernardino"
"White",8441,577.934052636402,"San Bernardino"
"AAPI",5840,452.295529544918,"San Diego"
"AIAN",87,36.5102252818566,"San Diego"
"Black",2528,308.312369564936,"San Diego"
"Latino",44166,1370.69396742686,"San Diego"
"Other",369,138.790977130681,"San Diego"
"Two or More",1771,245.510281393353,"San Diego"
"White",11440,667.535652598473,"San Diego"
"AAPI",6108,430.543219671729,"San Francisco"
"Black",934,189.012002720392,"San Francisco"
"Latino",3159,395.996927082855,"San Francisco"
"Other",20,19.9999999987678,"San Francisco"
"Two or More",508,128.809418970056,"San Francisco"
"White",1483,228.052213590232,"San Francisco"
"AAPI",2305,259.761617961828,"San Joaquin"
"AIAN",32,31.9999999985422,"San Joaquin"
"Black",1382,222.033715256443,"San Joaquin"
"Latino",9324,583.835674871449,"San Joaquin"
"Other",75,35.2277954866754,"San Joaquin"
"Two or More",490,119.50679930176,"San Joaquin"
"White",2269,266.263386794338,"San Joaquin"
"AAPI",62,42.8252132298362,"San Luis Obispo"
"AIAN",45,44.999999997727,"San Luis Obispo"
"Black",12,12.0000000010588,"San Luis Obispo"
"Latino",435,136.560996041712,"San Luis Obispo"
"Other",18,17.9999999990908,"San Luis Obispo"
"White",1447,205.046006957657,"San Luis Obispo"
"AAPI",2920,297.1318428911,"San Mateo"
"AIAN",30,30.0000000011486,"San Mateo"
"Black",353,100.114617365746,"San Mateo"
"Latino",10651,755.344000226465,"San Mateo"
"Other",94,94.0000000074517,"San Mateo"
"Two or More",558,136.498491057676,"San Mateo"
"White",1615,202.878239101543,"San Mateo"
