"YEAR","COUNTYFIP","RACE_COMB","MULT","MULT_se"
2021,37,"Latino",5.63045520322933,0.146464727220834
2021,37,"Other",5.06474820143885,2.03330817393919
2021,37,"Two or More",5.33576642335766,1.04546316062366
2021,37,"White",9.80913461538461,1.20135409347208
2021,39,"AAPI",2.22105263157895,1.15246343633277
2021,39,"AIAN",2.75,1.44427789644046
2021,39,"Black",NA,NA
2021,39,"Latino",5.14661654135338,1.31520228425811
2021,39,"Other",NA,NA
2021,39,"Two or More",Inf,NA
2021,39,"White",64.375,65.7661757154737
2021,41,"AAPI",Inf,NA
2021,41,"AIAN",Inf,NA
2021,41,"Black",4.6,3.56340758535017
2021,41,"Latino",3.71915584415584,1.15303370641482
2021,41,"Other",1,0
2021,41,"Two or More",Inf,NA
2021,41,"White",13.6,9.58247359911392
2021,47,"AAPI",14.2592592592593,13.9139072090484
2021,47,"AIAN",NA,NA
2021,47,"Black",3.92105263157895,2.1564110976778
2021,47,"Latino",4.25840179238237,1.01005217703425
2021,47,"Other",NA,NA
2021,47,"Two or More",16.4,17.4264214995142
2021,47,"White",8.77142857142857,6.4553073703547
2021,55,"AAPI",Inf,NA
2021,55,"AIAN",NA,NA
2021,55,"Black",Inf,NA
2021,55,"Latino",4.08333333333333,1.00212022265647
2021,55,"Other",NA,NA
2021,55,"Two or More",1,0
2021,55,"White",12.1764705882353,8.83929358668212
2021,59,"AAPI",8.43074581430746,1.22745581670353
2021,59,"AIAN",Inf,NA
2021,59,"Black",4.21674876847291,1.86166169479552
2021,59,"Latino",5.02480996621622,0.35349616001381
2021,59,"Other",2.14572864321608,0.589302177898495
2021,59,"Two or More",17.2333333333333,9.44449219338045
2021,59,"White",8.66705607476636,1.3698968275306
2021,61,"AAPI",2.02898550724638,0.660249463322686
2021,61,"AIAN",Inf,NA
2021,61,"Black",NA,NA
2021,61,"Latino",4.25595238095238,2.21617507008334
2021,61,"Other",NA,NA
2021,61,"Two or More",20.2,20.270674014117
2021,61,"White",5.27397260273973,2.04029921131434
2021,65,"AAPI",4.19066937119675,0.905350125140986
2021,65,"AIAN",5.8695652173913,3.10017345923963
2021,65,"Black",4.92950819672131,1.08221784160747
2021,65,"Latino",4.56692071132504,0.298658820124849
2021,65,"Other",Inf,NA
2021,65,"Two or More",7.31506849315068,2.50500619813493
2021,65,"White",4.94996572995202,0.729282140443146
2021,67,"AAPI",5.09573542210618,0.978135080482997
2021,67,"AIAN",6.88888888888889,4.94770068856916
2021,67,"Black",3.63427109974425,0.788391585675329
2021,67,"Latino",6.11553273427471,0.873805643614607
2021,67,"Other",Inf,NA
2021,67,"Two or More",2.92597239648683,0.643562332164056
2021,67,"White",11.8518518518519,2.89394699622587
2021,71,"AAPI",5.45553539019964,1.32427992523958
2021,71,"AIAN",6.125,5.04166132129498
2021,71,"Black",7.75657894736842,2.10669180733819
2021,71,"Latino",4.8382487875213,0.338459312461466
2021,71,"Other",NA,NA
2021,71,"Two or More",2.45759717314488,0.579738534152408
2021,71,"White",5.57522935779817,0.965958140833729
2021,73,"AAPI",12.2982062780269,2.91303624959831
2021,73,"AIAN",2.875,0.981767648306614
2021,73,"Black",6.14583333333333,1.47921767338332
2021,73,"Latino",5.47277810476751,0.393829560079037
2021,73,"Other",Inf,NA
2021,73,"Two or More",4.69021739130435,1.15222058940594
2021,73,"White",13.5076708507671,2.61352657933354
2021,75,"AAPI",9.28376068376068,2.20546561139084
2021,75,"AIAN",NA,NA
